sample_id,analyst,date,raw_target,raw_action,direction,raw_logic,entity_type_draft,actions_draft,action_status_draft,temporal_type_draft,has_code,multi_target,review_status,review_note,human_confirm
20,天赢居,2026-08-17,恩捷股份(002812),耐心跟踪13日均线通道防守,观察,企稳233日均线8小时才能补仓,STOCK,WATCH,INTENDED,UNKNOWN,True,False,,,
21,天赢居,2026-08-17,百济神州(688235),更多做主线轮动，跟踪为主,观察,医药中期跟踪个股,STOCK,WATCH,INTENDED,UNKNOWN,True,False,,,
22,天赢居,2026-08-17,中际旭创(300308),观察,观察,先看55日均线反压压力,STOCK,WATCH,INTENDED,UNKNOWN,True,False,,,
23,格兰投研,2026-08-19,中国金茂,指数级反弹行情，观察核心城市企稳,观察,公积金条例修订：利率决定机制改由国务院决定，下调概率提升,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:地产链（华润置地/中国海外发展/建发国际/中国金茂/滨江集团）; ,
24,格兰投研,2026-08-14,兆易创新,关注,观察,存储映射：闪迪+13%强化AI推理大容量闪存需求,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
25,格兰投研,2026-08-14,禾望电气,关注,观察,底部票有戏，耐心等等,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
26,游资混江龙,2026-08-17,黄河旋风,开盘零进已涨停，短线强势跟踪,短线,金刚石散热驱动涨停，AI算力散热环节，前期热点分支补涨，钻石散热已认证出货,STOCK,WATCH,EXECUTED,CURRENT_STATE,False,False,,,
27,游资混江龙,2026-08-26,中石科技,持续跟踪反复做,观察,科技，反复炒的票,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
28,游资混江龙,2026-08-27,华勤技术,提前拿筹码控仓位，博弈资金回流,观察,破60均线符合第一个标准但爆量不够,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
29,清北游资,2026-08-18,宇树科技相关,操作谨慎，今日兑现为主,观察,明日上市，今日资金兑现,STOCK,WATCH,INTENDED,TODAY,False,False,,,
30,清北游资,2026-08-18,沃格光电,关注，择机参考,观察,新发参考票,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
31,清北游资,2026-08-17,华正新材,换板可以操作,观察,加自选观察,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
32,妖股刺客,2026-08-28,百花医药,情绪一致，等分歧看最先转强支持强者,观察,博傻抱团高标,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:艾艾精工/汉森制药/蓝盾光电/百花医药/神奇制药/深中华/哈药股份; ,
33,妖股刺客,2026-08-26,通鼎互联,回避，科技套牢盘太重,观察,液冷整体走弱，都在杀跌,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:通鼎互联/金安国纪/宝鼎科技; ,
34,妖股刺客,2026-08-17,海科新源,关注拉升持续性,观察,VC概念，午后拉升,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
35,潘凤,2026-08-27,剑桥科技,一字预期，相信,观察,英伟达FY28指引+70%重构AI游戏规则，预期一字,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
36,潘凤,2026-08-17,芯原股份,关注,观察,比易中天强不少,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
37,潘凤,2026-08-17,通富微电,观察助攻持续性,观察,下午给百合花助攻，国产扩产逻辑,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:长电科技/通富微电; ,
38,李梦尘,2026-08-18,半导体硅片,关注强势延续,观察,今日唯一走强方向,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
39,李梦尘,2026-08-17,鹏鼎控股,受益标的,观察,mSAP PCB弹性大,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:深南电路/鹏鼎控股/景旺电子; ,
40,李梦尘,2026-08-17,景旺电子,受益标的,观察,mSAP PCB弹性大,STOCK,WATCH,INTENDED,UNKNOWN,False,True,,多目标拆分自:深南电路/鹏鼎控股/景旺电子; ,
41,一线天渔哥,2026-08-28,秋乐种业,关注,观察,农业最有辨识度,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
42,一线天渔哥,2026-08-27,哈森股份,跟踪,观察,持续跟踪标的,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
43,一线天渔哥,2026-08-28,神农种业,关注,观察,农业最有辨识度,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
44,老樊,2026-08-18,瑞芯微,中期均线组上方不破趋势没坏，持有,持有,中报符合预期，H1毛利率45.79%提升3.5pct，高端产品导入良好、业绩韧性强,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
45,老樊,2026-08-17,国瓷材料,策略暂时无变化,持有,围绕中期均线组来回测试,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
46,震哥本尊,2026-08-27,源杰科技,短线持有，不打算动,持有,短线光，周一起买分歧做T,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
47,震哥本尊,2026-08-26,天孚通信,持有观察,持有,短线光模块,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
48,天赢居,2026-08-19,沃森生物(300142),底仓顺21月均线持有观察,持有,偏中线；上个交易日价差止盈部分，目前未企稳,STOCK,HOLD,POSITION_STATE,UNKNOWN,True,False,,,
49,天赢居,2026-08-19,天山铝业(002532),区域内持有观察,持有,有色：233小时均线与55日均线附近接回,STOCK,HOLD,POSITION_STATE,UNKNOWN,True,False,,,
50,格兰投研,2026-08-27,资源金属,持有观察,持有,继续拿，等周五演讲结果,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
51,格兰投研,2026-08-26,华虹公司,持有,持有,华虹7个点,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
52,游资混江龙,2026-08-26,景旺电子,以20日均线为锚点，不破不走人,持有,科技，之前做过留了点仓位,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
53,游资混江龙,2026-08-26,卫星化学,拿着筹码继续看,持有,白马核心票,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,True,,多目标拆分自:海康威视/美的集团/卫星化学/中国船舶; ,
54,妖股刺客,2026-08-28,生益科技,科技没问题，关注,持有,科技中军，超预期,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
55,妖股刺客,2026-08-19,云南锗业,持有,持有,拉红，走势强,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
56,潘凤,2026-08-26,亨通光电,持有，若有则加,持有,买了一点0.5仓位,STOCK,HOLD,POSITION_STATE,CONDITIONAL,False,False,,,
57,李梦尘,2026-08-28,折叠屏,打地鼠模式，电源偏恶心，剩余子弹不动,持有,组合持仓,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,True,,多目标拆分自:硅微粉/硅片/靶材/折叠屏/冷液/电源; ,
58,李梦尘,2026-08-28,冷液,打地鼠模式，电源偏恶心，剩余子弹不动,持有,组合持仓,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,True,,多目标拆分自:硅微粉/硅片/靶材/折叠屏/冷液/电源; ,
59,一线天渔哥,2026-08-28,西点药业,滚动操作，涨多减/5日线之上加,持有,跟踪标的,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
60,一线天渔哥,2026-08-28,湖南白银,滚动操作,持有,跟踪标的,STOCK,HOLD,POSITION_STATE,UNKNOWN,False,False,,,
61,老樊,2026-08-27,大盘,卡节奏慢慢做，不追高，低吸为主,观察,放量3000亿，机构配置盘回归，等杰克逊霍尔落地量能回归,MARKET,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
62,震哥本尊,2026-08-17,中际旭创,低吸持有,低吸,30日线压制，分歧够大低吸了一些,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
63,天赢居,2026-08-14,贝斯特(300580),分批慢慢建底仓，先守21日均线支撑,低吸,紫线压力未过，现价试盘分批建底仓,STOCK,LOW_BUY,INTENDED,UNKNOWN,True,False,,,
64,格兰投研,2026-08-18,海光信息,低吸持有,低吸,底部已加仓，等通富/中芯涨完轮到,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
65,游资混江龙,2026-08-18,华勤技术,控制好仓位持有,低吸,科技核心人气股，一成仓低吸,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
66,妖股刺客,2026-08-28,风华高科,分歧低吸,观察,MLCC核心股,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
67,潘凤,2026-08-18,雅克科技,低吸了一点，慢慢来不着急,低吸,科技方向，-1以下低吸,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
68,李梦尘,2026-08-14,锐捷网络,绿盘低吃，冲高择机做T,短线,手里持仓，红S绿B做T,STOCK,LOW_BUY,INTENDED,UNKNOWN,False,False,,,
69,老樊,2026-08-17,长川科技,打底仓（盘中不追高）；圈内暂不加仓，等半导体设备指数收盘确认突破后绿盘小加仓,低吸,半导体设备代表率先现突破买点结构，与富创精密同享beta,STOCK,ADD,CONDITIONAL,CONDITIONAL,False,False,,,
70,震哥本尊,2026-08-14,天孚通信,加仓,买入,CPO方向，早盘相对更强,STOCK,ADD,INTENDED,UNKNOWN,False,False,,,
71,天赢居,2026-08-26,大金重工,等底分结构确立再回补，等待放量金叉,观察,002487，观察修复，KDJ超卖，35.6前低企稳是基础,STOCK,ADD,CONDITIONAL,CONDITIONAL,False,False,,,
72,格兰投研,2026-08-28,拓普集团,财报利空出尽，今天跌下来是最好的补仓机会,买入,机器人执行器收入确认+Optimus量产准备,STOCK,ADD,INTENDED,TODAY,False,False,,,
73,游资混江龙,2026-08-14,中恒电气(002364),圈友已加仓，走独立行情可继续持有,买入,圈内旧票被重新炒作逻辑未变，圈友周三41元进1层今日再加1层，走独立行情；华勤技术继续拿震荡未卖,STOCK,ADD,EXECUTED,CURRENT_STATE,True,False,,,
74,妖股刺客,2026-08-27,协鑫能科,冲涨停出局/接回,短线,冲涨停出局，接回002015,STOCK,ADD,INTENDED,UNKNOWN,False,False,,,
75,李梦尘,2026-08-14,有研硅,回补持有,买入,五虎中只回了有研硅（回去的是最强的）,STOCK,ADD,INTENDED,UNKNOWN,False,False,,,
76,老樊,2026-08-16,兖矿能源,突破买点结构后走出探路尖兵模型迹象，可小仓位博弈（上涨可能不连贯）,短线,煤炭机构再平衡受益：动力煤量增+现货占比高弹性品种，煤化工业务提供业绩弹性，煤企中少有全球资源属性+高分红代表,STOCK,UNKNOWN,CONDITIONAL,UNKNOWN,False,False,,,
77,震哥本尊,2026-08-28,康盛股份,择强打板,短线,3进4梯队（液冷）,STOCK,UNKNOWN,INTENDED,UNKNOWN,False,False,,,
78,格兰投研,2026-08-17,立讯精密,A股换港股操作,换股,有能力的A股可换立讯港股（筹码结构好）,STOCK,UNKNOWN,INTENDED,UNKNOWN,False,False,,,
79,游资混江龙,2026-08-27,宝鼎科技,早盘强承接上车，短线,短线,妖股强承接涨停，科技反弹博弈,STOCK,UNKNOWN,INTENDED,UNKNOWN,False,False,,,
80,清北游资,2026-08-17,共进股份,秒板不用动，连留断走；09:55换手够还不能回封可考虑出,短线,周五锻炼学习票，高开大肉，09:34开盘秒板,STOCK,UNKNOWN,CONDITIONAL,UNKNOWN,False,False,,,
81,潘凤,2026-08-26,西部矿业,能板就加0.5,短线,半路0.5仓位，有色铜,STOCK,UNKNOWN,INTENDED,UNKNOWN,False,False,,,
82,老樊,2026-08-18,茂莱光学,等站上中期均线组再考虑建仓,观察,标准冲高回落，受中期均线组压制,STOCK,BUY,CONDITIONAL,CONDITIONAL,False,False,,,
83,震哥本尊,2026-08-17,宏景,尾盘买入建仓,买入,尾盘2%附近买入,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
84,天赢居,2026-08-14,中国中免,关注60分钟黄色区间底部支撑,买入,短线左侧买点,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
85,格兰投研,2026-08-19,泰格医药,板块再迎大行情逻辑，关注龙头,买入,CXO重磅深度（浙商医药）：估值历史底部、业绩重回15-30%增速、创新药研发成本人民币化,STOCK,BUY,INTENDED,CONDITIONAL,False,True,,多目标拆分自:药明康德/凯莱英/康龙化成/泰格医药/昭衍新药; ,
86,游资混江龙,2026-08-19,海康威视,回踩60均线构成中线六二法买点，控制仓位拿点筹码,买入,白马困境反转故事：海外制裁解除、创新业务32%、应收380→274亿、百亿分红、冯柳减仓但底部有人接（裘国根30亿）,STOCK,BUY,CONDITIONAL,CONDITIONAL,False,False,,,
87,清北游资,2026-08-14,国风新材,三日持股吃肉,买入,本周分享标的,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
88,妖股刺客,2026-08-27,ST闻泰,早盘介入,买入,早盘介入,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
89,潘凤,2026-08-27,长飞光纤,半路0.5仓,买入,英伟达链+光通信,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
90,李梦尘,2026-08-17,天孚通信,核心推荐标的,买入,光器件首推，大光中最不受FCC影响,STOCK,BUY,INTENDED,UNKNOWN,False,False,,,
91,一线天渔哥,2026-08-28,德明利(001309),参考区间410-450，仓位1成,买入,科技核心，企业级存储进入头部互联网/服务器供应链稳定出货,STOCK,BUY,INTENDED,UNKNOWN,True,False,,,
92,老樊,2026-08-19,长飞光纤,减仓止盈（短线同学清仓）；长协超预期走出突破买点后圈子接回,减仓,圈内品种，碰触中期均线组遇阻回落；海外存储大厂回落拖累AI涨价链；短期催化看长协,STOCK,CLEAR,INTENDED,CURRENT_STATE,False,False,,,
93,震哥本尊,2026-08-18,宏景科技,清仓兑现,卖出,光模块概念，-2%附近清仓,STOCK,CLEAR,INTENDED,CURRENT_STATE,False,False,,,
94,天赢居,2026-08-17,芯源微(688037),止盈离场,卖出,今日止盈,STOCK,CLEAR,INTENDED,UNKNOWN,True,False,,,
95,游资混江龙,2026-08-27,汉森制药,回本离场,卖出,昨天弱转强，回本后跑，不做强势延续,STOCK,CLEAR,INTENDED,UNKNOWN,False,False,,,
96,妖股刺客,2026-08-28,康盛股份,明天能否超预期决定板块强度，不能强更强加速则后排落袋,观察,液冷连板龙头,STOCK,CLEAR,INTENDED,UNKNOWN,False,False,,,
97,潘凤,2026-08-26,长盈通,已清仓,卖出,开盘全部卖出,STOCK,CLEAR,EXECUTED,CURRENT_STATE,False,True,,多目标拆分自:石头科技/长盈通; ,
98,李梦尘,2026-08-27,特高压方向,已走,卖出,国网十五五capex超4.5万亿但今日已走,MARKET,CLEAR,EXECUTED,CURRENT_STATE,False,False,,,
99,震哥本尊,2026-08-14,腾景科技,卖出,卖出,CPO方向，早盘判断不如天孚强,STOCK,SELL,INTENDED,UNKNOWN,False,False,,,
100,天赢居,2026-08-17,屹唐股份(688729),持股观察，破13日线减出,持有,13日均线防守，55日均线反压消化,STOCK,SELL,INTENDED,UNKNOWN,True,False,,,
