priority,sample_id,analyst,date,raw_target,raw_action,raw_logic,draft_action,parser_action,draft_status,parser_status,draft_temporal,parser_temporal,arbiter_result,final_action,final_status,final_temporal,exclude_from_core_benchmark,review_note
P1_ACTION_OPPOSITE,84,天赢居,2026-08-14,中国中免,关注60分钟黄色区间底部支撑,短线左侧买点,BUY,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,'关注支撑'→WATCH。draft BUY 误判
P1_ACTION_OPPOSITE,85,格兰投研,2026-08-19,泰格医药,板块再迎大行情逻辑，关注龙头,CXO重磅深度（浙商医药）：估值历史底部、业绩重回15-30%增速、创新药研发成本人民币化,BUY,WATCH,INTENDED,INTENDED,CONDITIONAL,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,'关注龙头'→WATCH(协议9推荐≠买入)。draft BUY 误判
P1_ACTION_OPPOSITE,87,清北游资,2026-08-14,国风新材,三日持股吃肉,本周分享标的,BUY,HOLD,INTENDED,POSITION_STATE,UNKNOWN,CURRENT_STATE,AMBIGUOUS,,,,true,"'三日持股吃肉'(本周分享标的),持股措辞含糊,不強标BUY"
P1_ACTION_OPPOSITE,90,李梦尘,2026-08-17,天孚通信,核心推荐标的,光器件首推，大光中最不受FCC影响,BUY,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,'核心推荐标的'=推荐关系非交易动作→WATCH(协议9)。draft BUY 误判
P1_ACTION_OPPOSITE,91,一线天渔哥,2026-08-28,德明利(001309),参考区间410-450，仓位1成,科技核心，企业级存储进入头部互联网/服务器供应链稳定出货,BUY,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,DRAFT_CORRECT,BUY,INTENDED,FUTURE_PLAN,,"'参考区间410-450,仓位1成'=计划建仓(缺口C); temporal按盘后语境取FUTURE_PLAN"
P1_ACTION_OPPOSITE,100,天赢居,2026-08-17,屹唐股份(688729),持股观察，破13日线减出,13日均线防守，55日均线反压消化,SELL,HOLD,INTENDED,POSITION_STATE,UNKNOWN,TODAY,BOTH_WRONG,HOLD,POSITION_STATE,CONDITIONAL,,"多动作: HOLD|REDUCE(COND); '破13日线减出'条件。parser仅HOLD(缺口A), draft仅SELL"
P2_STATUS_CONFLICT,5,老樊,2026-08-18,长飞光纤,部分减仓止盈，放量突破则小幅加仓,涨价链扩散锚，昨日已涨，中期均线组遇阻回落,REDUCE,REDUCE,INTENDED,EXECUTED,UNKNOWN,CONDITIONAL,PARSER_CORRECT,REDUCE,EXECUTED,TODAY,,双事件(协议11): REDUCE/EXECUTED/TODAY + ADD/CONDITIONAL/CONDITIONAL(放量突破则小幅加仓); parser temporal CONDITIONAL 被条件子句带偏→主动作TODAY(缺口H)
P2_STATUS_CONFLICT,9,游资混江龙,2026-08-14,药明康德,之前减仓的可以继续跑,破5日线，估计到阶段性高位,REDUCE,REDUCE,EXECUTED,CONDITIONAL,UNKNOWN,CONDITIONAL,BOTH_WRONG,REDUCE,EXECUTED,PAST,,"双事件(用户修订): REDUCE/EXECUTED/PAST(之前减仓=历史事实) + HOLD/INTENDED/TODAY(可以继续跑=剩余仓位持有建议); draft状态对但漏HOLD; parser CONDITIONAL错(可以=许可非条件,缺口F)"
P2_STATUS_CONFLICT,11,妖股刺客,2026-08-19,兴业科技,尾盘减仓，兑现修复收益,昨日加仓后今日尾盘拉红修复，14:54尾盘减仓兑现,REDUCE,REDUCE,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,REDUCE,EXECUTED,TODAY,,"尾盘减仓→EXECUTED(减仓=完成态,协议12不冲突)"
P2_STATUS_CONFLICT,13,李梦尘,2026-08-17,半导体材料,止盈卖出,今日强势但已卖,REDUCE,REDUCE,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,REDUCE,EXECUTED,TODAY,,止盈卖出(logic已卖)→EXECUTED
P2_STATUS_CONFLICT,26,游资混江龙,2026-08-17,黄河旋风,开盘零进已涨停，短线强势跟踪,金刚石散热驱动涨停，AI算力散热环节，前期热点分支补涨，钻石散热已认证出货,WATCH,WATCH,EXECUTED,INTENDED,CURRENT_STATE,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,开盘零进已涨停=市场状态非动作; 短线强势跟踪→WATCH/INTENDED; draft EXECUTED错
P2_STATUS_CONFLICT,69,老樊,2026-08-17,长川科技,打底仓（盘中不追高）；圈内暂不加仓，等半导体设备指数收盘确认突破后绿盘小加仓,半导体设备代表率先现突破买点结构，与富创精密同享beta,ADD,BUY,CONDITIONAL,EXECUTED,CONDITIONAL,CONDITIONAL,BOTH_WRONG,BUY,INTENDED,TODAY,,"双事件(用户修订): BUY/INTENDED/TODAY(打底仓=计划,盘中时段词≠EXECUTED,协议12) + ADD/CONDITIONAL/CONDITIONAL(等确认突破后小加仓); parser'盘中'误升EXECUTED(缺口I), draft动作错"
P2_STATUS_CONFLICT,79,游资混江龙,2026-08-27,宝鼎科技,早盘强承接上车，短线,妖股强承接涨停，科技反弹博弈,UNKNOWN,BUY,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,EXECUTED,TODAY,,"早盘强承接上车→EXECUTED(上车=完成态,协议12不冲突)"
P2_STATUS_CONFLICT,83,震哥本尊,2026-08-17,宏景,尾盘买入建仓,尾盘2%附近买入,BUY,BUY,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,EXECUTED,TODAY,,尾盘买入建仓→EXECUTED(买入=完成态)
P2_STATUS_CONFLICT,88,妖股刺客,2026-08-27,ST闻泰,早盘介入,早盘介入,BUY,BUY,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,EXECUTED,TODAY,,早盘介入→EXECUTED(介入=完成态)
P2_STATUS_CONFLICT,92,老樊,2026-08-19,长飞光纤,减仓止盈（短线同学清仓）；长协超预期走出突破买点后圈子接回,圈内品种，碰触中期均线组遇阻回落；海外存储大厂回落拖累AI涨价链；短期催化看长协,CLEAR,REDUCE,INTENDED,EXECUTED,CURRENT_STATE,CONDITIONAL,PARSER_CORRECT,REDUCE,EXECUTED,TODAY,,"减仓止盈→EXECUTED(协议6); 多事件: 短线同学清仓=secondary CLEAR, 突破后接回=secondary ADD/COND; draft CLEAR过头"
P2_STATUS_CONFLICT,93,震哥本尊,2026-08-18,宏景科技,清仓兑现,光模块概念，-2%附近清仓,CLEAR,CLEAR,INTENDED,EXECUTED,CURRENT_STATE,TODAY,PARSER_CORRECT,CLEAR,EXECUTED,TODAY,,清仓兑现→EXECUTED(协议7)
P2_STATUS_CONFLICT,94,天赢居,2026-08-17,芯源微(688037),止盈离场,今日止盈,CLEAR,REDUCE,INTENDED,EXECUTED,UNKNOWN,TODAY,BOTH_WRONG,SELL,EXECUTED,TODAY,,"止盈离场→SELL(协议13: 离场优先于止盈→REDUCE); parser动作错(受止盈), draft动作错(CLEAR过头), 状态均EXECUTED(缺口J)"
P2_STATUS_CONFLICT,95,游资混江龙,2026-08-27,汉森制药,回本离场,昨天弱转强，回本后跑，不做强势延续,CLEAR,SELL,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,SELL,EXECUTED,TODAY,,回本离场→SELL/EXECUTED(协议13); draft CLEAR过头
P2_STATUS_CONFLICT,99,震哥本尊,2026-08-14,腾景科技,卖出,CPO方向，早盘判断不如天孚强,SELL,SELL,INTENDED,EXECUTED,UNKNOWN,TODAY,PARSER_CORRECT,SELL,EXECUTED,TODAY,,卖出→EXECUTED(logic早盘判断)
P3_TEMPORAL_CONFLICT,1,老樊,2026-08-28,腾景科技,试错思维对待，控制仓位,谷歌链OCS三剑客，突破买点结构,TRIAL,TRIAL,CONDITIONAL,INTENDED,CONDITIONAL,TODAY,PARSER_CORRECT,TRIAL,INTENDED,TODAY,,试错思维对待→TRIAL/INTENDED/TODAY; draft CONDITIONAL是logic'突破买点'干扰
P3_TEMPORAL_CONFLICT,6,震哥本尊,2026-08-17,天孚通信,已减仓，不追高,基本在早盘减仓位置，别追高,REDUCE,REDUCE,EXECUTED,EXECUTED,CURRENT_STATE,TODAY,PARSER_CORRECT,REDUCE,EXECUTED,TODAY,,已减仓→EXECUTED/TODAY(logic早盘减仓位置); draft CURRENT_STATE错
P3_TEMPORAL_CONFLICT,73,游资混江龙,2026-08-14,中恒电气(002364),圈友已加仓，走独立行情可继续持有,圈内旧票被重新炒作逻辑未变，圈友周三41元进1层今日再加1层，走独立行情；华勤技术继续拿震荡未卖,ADD,ADD,EXECUTED,EXECUTED,CURRENT_STATE,CONDITIONAL,BOTH_WRONG,ADD,EXECUTED,PAST,,"双事件(协议11): ADD/EXECUTED/PAST(圈友周三已加仓) + HOLD/INTENDED/CONDITIONAL(走独立行情可继续持有=条件建议); draft CURRENT_STATE被持有子句带偏, parser CONDITIONAL(缺口G+H)"
P3_TEMPORAL_CONFLICT,97,潘凤,2026-08-26,长盈通,已清仓,开盘全部卖出,CLEAR,CLEAR,EXECUTED,EXECUTED,CURRENT_STATE,TODAY,PARSER_CORRECT,CLEAR,EXECUTED,TODAY,,已清仓(logic开盘全部卖出)→EXECUTED/TODAY
P3_TEMPORAL_CONFLICT,98,李梦尘,2026-08-27,特高压方向,已走,国网十五五capex超4.5万亿但今日已走,CLEAR,CLEAR,EXECUTED,EXECUTED,CURRENT_STATE,TODAY,PARSER_CORRECT,CLEAR,EXECUTED,TODAY,,"已走→CLEAR/EXECUTED/TODAY; ⚠️特高压方向=题材实体,个股共识层面可能OUT_OF_SCOPE(0B.7裁决),动作解析照常"
P4_BUY_SUBTYPE,63,天赢居,2026-08-14,贝斯特(300580),分批慢慢建底仓，先守21日均线支撑,紫线压力未过，现价试盘分批建底仓,LOW_BUY,BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,INTENDED,TODAY,,"分批慢慢建底仓→BUY(建底仓=BUY规则,无低吸/回踩吸价格语义→非LOW_BUY)/INTENDED/TODAY; draft LOW_BUY错"
P5_DRAFT_UNKNOWN_TEMPORAL,2,天赢居,2026-08-14,四方股份(601126),试盘仓守8月12日低点支撑,现价试盘，支撑参考8月12日低点,TRIAL,TRIAL,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,TRIAL,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,3,妖股刺客,2026-08-17,VC板块,分仓试错,赌VC板块加强，创新药超预期,TRIAL,TRIAL,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,TRIAL,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,4,潘凤,2026-08-17,太辰光,0.5仓试错,半路0.5,TRIAL,TRIAL,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,TRIAL,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,8,格兰投研,2026-08-17,杰瑞股份,不连板则止盈,明天如果不能连续涨停就要自己注意止盈一点,REDUCE,REDUCE,INTENDED,CONDITIONAL,UNKNOWN,CONDITIONAL,PARSER_CORRECT,REDUCE,CONDITIONAL,CONDITIONAL,,
P5_DRAFT_UNKNOWN_TEMPORAL,10,清北游资,2026-08-26,融捷股份,73.5左右减一半，另一半74以上出完，本月结束,拉升至73.5附近,REDUCE,REDUCE,INTENDED,INTENDED,UNKNOWN,TODAY,AMBIGUOUS,REDUCE,CONDITIONAL,FUTURE_PLAN,true,"⚠️动作窗口/持有期限歧义: '73.5左右减一半'=条件/计划动作(REDUCE/CONDITIONAL), '本月结束'可能是持有周期/退出窗口而非明确执行日期; FUTURE_PLAN 暂落地但不当强规则样本(缺口O); holding_horizon=MONTH_END"
P5_DRAFT_UNKNOWN_TEMPORAL,14,老樊,2026-08-19,万和电气,模型观察，不追,n式倍量双涨停模型，基本面看点不足，倾向筹码博弈,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,16,老樊,2026-08-19,广钢气体,观察，跌到中期均线组下方概率不高,涨价链承压但未放量中大阴线；解禁是利空但非股价核心矛盾,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,17,震哥本尊,2026-08-28,立新能源,位置不够低，先自选观察,可能反复活跃,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,18,震哥本尊,2026-08-28,深中华A,开盘看承接，能博弈,最高板妖股，贵金属回流+投机核心,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,19,震哥本尊,2026-08-27,汉森制药,修复新高观察,医药最高板，昨天炸板今天修复新高,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,20,天赢居,2026-08-17,恩捷股份(002812),耐心跟踪13日均线通道防守,企稳233日均线8小时才能补仓,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,21,天赢居,2026-08-17,百济神州(688235),更多做主线轮动，跟踪为主,医药中期跟踪个股,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,22,天赢居,2026-08-17,中际旭创(300308),观察,先看55日均线反压压力,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,23,格兰投研,2026-08-19,中国金茂,指数级反弹行情，观察核心城市企稳,公积金条例修订：利率决定机制改由国务院决定，下调概率提升,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,24,格兰投研,2026-08-14,兆易创新,关注,存储映射：闪迪+13%强化AI推理大容量闪存需求,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,25,格兰投研,2026-08-14,禾望电气,关注,底部票有戏，耐心等等,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,28,游资混江龙,2026-08-27,华勤技术,提前拿筹码控仓位，博弈资金回流,破60均线符合第一个标准但爆量不够,WATCH,HOLD,INTENDED,POSITION_STATE,UNKNOWN,TODAY,BOTH_WRONG,BUY,INTENDED,TODAY,,"'提前拿筹码控仓位'=获取仓位意图→BUY/INTENDED(缺口L: 拿筹码是上下文词非固定动作); parser 命中'拿筹码'→HOLD 词典歧义, draft WATCH 错"
P5_DRAFT_UNKNOWN_TEMPORAL,30,清北游资,2026-08-18,沃格光电,关注，择机参考,新发参考票,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,32,妖股刺客,2026-08-28,百花医药,情绪一致，等分歧看最先转强支持强者,博傻抱团高标,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,CONDITIONAL,PARSER_CORRECT,WATCH,INTENDED,CONDITIONAL,,
P5_DRAFT_UNKNOWN_TEMPORAL,34,妖股刺客,2026-08-17,海科新源,关注拉升持续性,VC概念，午后拉升,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,36,潘凤,2026-08-17,芯原股份,关注,比易中天强不少,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,37,潘凤,2026-08-17,通富微电,观察助攻持续性,下午给百合花助攻，国产扩产逻辑,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,38,李梦尘,2026-08-18,半导体硅片,关注强势延续,今日唯一走强方向,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,39,李梦尘,2026-08-17,鹏鼎控股,受益标的,mSAP PCB弹性大,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,40,李梦尘,2026-08-17,景旺电子,受益标的,mSAP PCB弹性大,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,41,一线天渔哥,2026-08-28,秋乐种业,关注,农业最有辨识度,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,42,一线天渔哥,2026-08-27,哈森股份,跟踪,持续跟踪标的,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,43,一线天渔哥,2026-08-28,神农种业,关注,农业最有辨识度,WATCH,WATCH,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,44,老樊,2026-08-18,瑞芯微,中期均线组上方不破趋势没坏，持有,中报符合预期，H1毛利率45.79%提升3.5pct，高端产品导入良好、业绩韧性强,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,45,老樊,2026-08-17,国瓷材料,策略暂时无变化,围绕中期均线组来回测试,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,46,震哥本尊,2026-08-27,源杰科技,短线持有，不打算动,短线光，周一起买分歧做T,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,47,震哥本尊,2026-08-26,天孚通信,持有观察,短线光模块,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,48,天赢居,2026-08-19,沃森生物(300142),底仓顺21月均线持有观察,偏中线；上个交易日价差止盈部分，目前未企稳,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,49,天赢居,2026-08-19,天山铝业(002532),区域内持有观察,有色：233小时均线与55日均线附近接回,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,50,格兰投研,2026-08-27,资源金属,持有观察,继续拿，等周五演讲结果,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,51,格兰投研,2026-08-26,华虹公司,持有,华虹7个点,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,52,游资混江龙,2026-08-26,景旺电子,以20日均线为锚点，不破不走人,科技，之前做过留了点仓位,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CONDITIONAL,PARSER_CORRECT,HOLD,POSITION_STATE,CONDITIONAL,,
P5_DRAFT_UNKNOWN_TEMPORAL,53,游资混江龙,2026-08-26,卫星化学,拿着筹码继续看,白马核心票,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,54,妖股刺客,2026-08-28,生益科技,科技没问题，关注,科技中军，超预期,HOLD,WATCH,POSITION_STATE,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,WATCH,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,55,妖股刺客,2026-08-19,云南锗业,持有,拉红，走势强,HOLD,HOLD,POSITION_STATE,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,
P5_DRAFT_UNKNOWN_TEMPORAL,61,老樊,2026-08-27,大盘,卡节奏慢慢做，不追高，低吸为主,放量3000亿，机构配置盘回归，等杰克逊霍尔落地量能回归,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,MARKET_EXCLUDED,UNKNOWN,UNKNOWN,TODAY,true,"大盘=MARKET实体(协议7), '低吸为主'=市场级操作风格不生成个股动作; 与确认10行[10]同原文同裁; exclude_from_stock_consensus"
P5_DRAFT_UNKNOWN_TEMPORAL,62,震哥本尊,2026-08-17,中际旭创,低吸持有,30日线压制，分歧够大低吸了一些,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,LOW_BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,64,格兰投研,2026-08-18,海光信息,低吸持有,底部已加仓，等通富/中芯涨完轮到,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,LOW_BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,66,妖股刺客,2026-08-28,风华高科,分歧低吸,MLCC核心股,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,LOW_BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,67,潘凤,2026-08-18,雅克科技,低吸了一点，慢慢来不着急,科技方向，-1以下低吸,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,LOW_BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,68,李梦尘,2026-08-14,锐捷网络,绿盘低吃，冲高择机做T,手里持仓，红S绿B做T,LOW_BUY,LOW_BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,LOW_BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,70,震哥本尊,2026-08-14,天孚通信,加仓,CPO方向，早盘相对更强,ADD,ADD,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,ADD,INTENDED,TODAY,,
